BB vs LIMP 13BB
Hand,AI,RAISE,CHECK
8s7d,25,0,75
8s8d,0,100,0
8s2h,0,0,100
8s3h,0,0,100
8s4h,0,25,75
8s5h,0,25,75
8s6h,0,25,75
8s7h,25,0,75
8s8h,0,100,0
8s2s,0,0,100
8s3s,0,0,100
8s4s,25,0,75
8s5s,0,0,100
8s6s,100,0,0
8s7s,100,0,0
9s2c,0,25,75
9s3c,0,0,100
9s4c,0,0,100
9s5c,0,25,75
9s6c,0,25,75
9s7c,25,0,75
9s8c,0,0,100
9s9c,0,100,0
9s2d,0,25,75
9s3d,0,0,100
9s4d,0,0,100
9s5d,0,25,75
9s6d,0,25,75
9s7d,25,0,75
9s8d,0,0,100
9s9d,0,100,0
9s2h,0,25,75
9s3h,0,0,100
9s4h,0,0,100
9s5h,0,25,75
9s6h,0,25,75
9s7h,25,0,75
9s8h,0,0,100
9s9h,0,100,0
9s2s,0,25,75
9s3s,0,0,100
9s4s,0,0,100
9s5s,0,0,100
9s6s,25,0,75
9s7s,75,0,25
9s8s,0,50,50
Ts2c,0,25,75
Ts3c,0,0,100
Ts4c,0,50,50
Ts5c,0,0,100
Ts6c,0,25,75
Ts7c,0,25,75
Ts8c,25,25,50
Ts9c,0,0,100
TsTc,0,100,0
Ts2d,0,25,75
Ts3d,0,0,100
Ts4d,0,50,50
Ts5d,0,0,100
Ts6d,0,25,75
Ts7d,0,25,75
Ts8d,25,25,50
Ts9d,0,0,100
TsTd,0,100,0
Ts2h,0,25,75
Ts3h,0,0,100
Ts4h,0,50,50
Ts5h,0,0,100
Ts6h,0,25,75
Ts7h,0,25,75
Ts8h,25,25,50
Ts9h,0,0,100
TsTh,0,100,0
Ts2s,0,0,100
Ts3s,0,0,100
Ts4s,0,0,100
Ts5s,0,0,100
Ts6s,25,0,75
Ts7s,0,0,100
Ts8s,0,0,100
Ts9s,0,75,25
Js2c,0,25,75
Js3c,0,25,75
Js4c,0,0,100
Js5c,0,25,75
Js6c,0,25,75
Js7c,0,25,75
Js8c,0,25,75
Js9c,0,50,50
JsTc,0,0,100
JsJc,0,100,0
Js2d,0,25,75
Js3d,0,25,75
Js4d,0,0,100
Js5d,0,25,75
Js6d,0,25,75
Js7d,0,25,75
Js8d,0,25,75
Js9d,0,50,50
JsTd,0,0,100
JsJd,0,100,0
Js2h,0,25,75
Js3h,0,25,75
Js4h,0,0,100
Js5h,0,25,75
Js6h,0,25,75
Js7h,0,25,75
Js8h,0,25,75
Js9h,0,50,50
JsTh,0,0,100
JsJh,0,100,0
Js2s,0,0,100
Js3s,0,0,100
Js4s,0,0,100
Js5s,0,0,100
Js6s,0,0,100
Js7s,0,0,100
Js8s,0,0,100
Js9s,0,0,100
JsTs,0,75,25
Qs2c,25,25,50
Qs3c,0,0,100
Qs4c,25,0,75
Qs5c,0,0,100
Qs6c,0,33.3333333,66.6666667
Qs7c,0,25,75
Qs8c,25,25,50
Qs9c,0,25,75
QsTc,0,25,75
QsJc,0,25,75
QsQc,0,100,0
Qs2d,25,25,50
Qs3d,0,0,100
Qs4d,25,0,75
Qs5d,0,0,100
Qs6d,0,33.3333333,66.6666667
Qs7d,0,25,75
Qs8d,25,25,50
Qs9d,0,25,75
QsTd,0,25,75
QsJd,0,25,75
