BB vs OR 22BB
Hand,3BAI,3BNAI,CALL,FOLD
Th5h,0,0,100,0
Th6h,50,0,50,0
Th7h,0,0,100,0
Th8h,0,0,100,0
Th9h,0,0,100,0
Th2s,0,0,0,100
Th3s,0,0,0,100
Th4s,0,0,0,100
Th5s,0,0,0,100
Th6s,0,0,100,0
Th7s,0,25,75,0
Th8s,0,0,100,0
Th9s,0,0,100,0
Jh2c,0,0,0,100
Jh3c,0,0,25,75
Jh4c,0,0,50,50
Jh5c,0,25,75,0
Jh6c,0,0,75,25
Jh7c,0,25,75,0
Jh8c,0,0,100,0
Jh9c,0,0,100,0
JhTc,0,0,100,0
JhJc,0,100,0,0
Jh2d,0,0,0,100
Jh3d,0,0,25,75
Jh4d,0,0,50,50
Jh5d,0,25,75,0
Jh6d,0,0,75,25
Jh7d,0,25,75,0
Jh8d,0,0,100,0
Jh9d,0,0,100,0
JhTd,0,0,100,0
JhJd,0,100,0,0
Jh2h,0,0,100,0
Jh3h,0,0,100,0
Jh4h,0,0,100,0
Jh5h,0,0,100,0
Jh6h,0,0,100,0
Jh7h,0,0,100,0
Jh8h,0,0,100,0
Jh9h,0,0,100,0
JhTh,0,50,50,0
Jh2s,0,0,0,100
Jh3s,0,0,25,75
Jh4s,0,0,50,50
Jh5s,0,25,75,0
Jh6s,0,0,75,25
Jh7s,0,25,75,0
Jh8s,0,0,100,0
Jh9s,0,0,100,0
JhTs,0,0,100,0
Qh2c,0,25,75,0
Qh3c,0,25,75,0
Qh4c,0,25,75,0
Qh5c,0,25,75,0
Qh6c,25,0,75,0
Qh7c,0,0,100,0
Qh8c,0,0,100,0
Qh9c,0,25,75,0
QhTc,0,25,75,0
QhJc,0,25,75,0
QhQc,0,100,0,0
Qh2d,0,25,75,0
Qh3d,0,25,75,0
Qh4d,0,25,75,0
Qh5d,0,25,75,0
Qh6d,25,0,75,0
Qh7d,0,0,100,0
Qh8d,0,0,100,0
Qh9d,0,25,75,0
QhTd,0,25,75,0
QhJd,0,25,75,0
QhQd,0,100,0,0
Qh2h,0,0,100,0
Qh3h,0,0,100,0
Qh4h,0,0,100,0
Qh5h,0,0,100,0
Qh6h,50,0,50,0
Qh7h,0,0,100,0
Qh8h,0,0,100,0
Qh9h,0,0,100,0
QhTh,0,0,100,0
QhJh,0,0,100,0
Qh2s,0,25,75,0
Qh3s,0,25,75,0
Qh4s,0,25,75,0
Qh5s,0,25,75,0
Qh6s,25,0,75,0
Qh7s,0,0,100,0
Qh8s,0,0,100,0
Qh9s,0,25,75,0
QhTs,0,25,75,0
QhJs,0,25,75,0
Kh2c,0,25,75,0
Kh3c,0,25,75,0
Kh4c,0,25,75,0
Kh5c,20,20,60,0
Kh6c,75,0,25,0
Kh7c,0,0,100,0
Kh8c,0,0,100,0
Kh9c,0,50,50,0
KhTc,0,25,75,0
KhJc,50,0,50,0
KhQc,75,0,25,0
KhKc,0,100,0,0
Kh2d,0,25,75,0
Kh3d,0,25,75,0
Kh4d,0,25,75,0
Kh5d,20,20,60,0
Kh6d,75,0,25,0
Kh7d,0,0,100,0
Kh8d,0,0,100,0
Kh9d,0,50,50,0
KhTd,0,25,75,0
KhJd,50,0,50,0
KhQd,75,0,25,0
KhKd,0,100,0,0
Kh2h,0,0,100,0
Kh3h,0,0,100,0
Kh4h,0,0,100,0
Kh5h,25,0,75,0
Kh6h,25,0,75,0
Kh7h,0,0,100,0
Kh8h,0,0,100,0
Kh9h,0,0,100,0
KhTh,0,0,100,0
KhJh,0,0,100,0
KhQh,0,50,50,0
Kh2s,0,25,75,0
Kh3s,0,25,75,0
Kh4s,0,25,75,0
Kh5s,20,20,60,0
Kh6s,75,0,25,0
Kh7s,0,0,100,0
Kh8s,0,0,100,0
Kh9s,0,50,50,0
KhTs,0,25,75,0
KhJs,50,0,50,0
KhQs,75,0,25,0
Ah2c,50,25,25,0
Ah3c,75,0,25,0
Ah4c,75,0,25,0
Ah5c,50,0,50,0
Ah6c,50,25,25,0
Ah7c,75,25,0,0
Ah8c,100,0,0,0
Ah9c,100,0,0,0
AhTc,100,0,0,0
AhJc,100,0,0,0
AhQc,100,0,0,0
AhKc,100,0,0,0
AhAc,0,100,0,0
Ah2d,50,25,25,0
Ah3d,75,0,25,0
Ah4d,75,0,25,0
Ah5d,50,0,50,0
Ah6d,50,25,25,0
Ah7d,75,25,0,0
Ah8d,100,0,0,0
Ah9d,100,0,0,0
AhTd,100,0,0,0
AhJd,100,0,0,0
AhQd,100,0,0,0
AhKd,100,0,0,0
AhAd,0,100,0,0
Ah2h,0,0,100,0
Ah3h,25,0,75,0
Ah4h,0,0,100,0
Ah5h,25,0,75,0
Ah6h,0,0,100,0
Ah7h,0,0,100,0
Ah8h,25,50,25,0
Ah9h,50,50,0,0
AhTh,0,100,0,0
AhJh,25,75,0,0
AhQh,0,100,0,0
AhKh,0,100,0,0
Ah2s,50,25,25,0
Ah3s,75,0,25,0
Ah4s,75,0,25,0
Ah5s,50,0,50,0
Ah6s,50,25,25,0
Ah7s,75,25,0,0
Ah8s,100,0,0,0
Ah9s,100,0,0,0
AhTs,100,0,0,0
AhJs,100,0,0,0
AhQs,100,0,0,0
AhKs,100,0,0,0
2s2c,100,0,0,0
2s2d,100,0,0,0
2s2h,100,0,0,0
3s2c,0,0,0,100
3s3c,100,0,0,0
3s2d,0,0,0,100
3s3d,100,0,0,0
3s2h,0,0,0,100
3s3h,100,0,0,0
3s2s,0,0,100,0
4s2c,0,0,0,100
4s3c,0,0,25,75
4s4c,100,0,0,0
4s2d,0,0,0,100
4s3d,0,0,25,75
4s4d,100,0,0,0
4s2h,0,0,0,100
4s3h,0,0,25,75
4s4h,100,0,0,0
4s2s,0,0,100,0
4s3s,0,0,100,0
5s2c,0,0,0,100
5s3c,0,0,100,0
5s4c,0,25,75,0
5s5c,100,0,0,0
5s2d,0,0,0,100
5s3d,0,0,100,0
5s4d,0,25,75,0
5s5d,100,0,0,0
5s2h,0,0,0,100
5s3h,0,0,100,0
5s4h,0,25,75,0
5s5h,100,0,0,0
5s2s,0,0,100,0
5s3s,0,0,100,0
5s4s,0,25,75,0
6s2c,0,0,0,100
6s3c,0,0,0,100
6s4c,0,0,100,0
6s5c,0,0,100,0
6s6c,100,0,0,0
6s2d,0,0,0,100
6s3d,0,0,0,100
6s4d,0,0,100,0
6s5d,0,0,100,0
